PropertyValue,Timestamp
true,2018-09-02T17:35:40.7774695Z
false,2018-09-02T17:35:40.7774695Z
true,2018-09-02T17:35:52.5904402Z
false,2018-09-02T17:35:53.7382681Z
true,2018-09-02T17:36:14.0403147Z
false,2018-09-02T17:36:15.1965769Z
true,2018-09-02T17:36:55.8579432Z
false,2018-09-02T17:36:57.0924138Z
true,2018-09-02T17:37:07.8240279Z
false,2018-09-02T17:37:09.2985025Z
true,2018-09-02T17:37:13.8142752Z
false,2018-09-02T17:37:22.3528526Z
true,2018-09-02T17:38:08.2467787Z
false,2018-09-02T17:38:09.7515902Z
true,2018-09-02T17:38:13.2204776Z
false,2018-09-02T17:38:14.7053420Z
true,2018-09-02T17:38:21.2351419Z
false,2018-09-02T17:38:22.6922721Z
