PropertyValue,Timestamp
True,2018-09-04T16:47:26.4496635Z
True,2018-09-04T16:52:53.1807026Z
True,2018-09-04T16:54:59.4292111Z
True,2018-09-04T17:07:22.6874176Z
True,2018-09-04T17:07:35.2955945Z
True,2018-09-04T17:18:48.7664397Z
True,2018-09-04T17:18:48.7664397Z
True,2018-09-04T17:18:48.7664397Z
True,2018-09-04T17:18:48.9075945Z
True,2018-09-04T17:18:48.9075945Z
True,2018-09-04T17:18:59.5230481Z
True,2018-09-04T17:19:05.0594214Z
True,2018-09-04T17:19:14.8180647Z
True,2018-09-04T17:19:20.3554261Z
True,2018-09-04T17:19:25.7698785Z
True,2018-09-04T17:19:31.4037982Z
True,2018-09-04T17:19:42.4158967Z
True,2018-09-04T17:19:48.0441558Z
True,2018-09-04T17:19:53.5961836Z
True,2018-09-04T17:19:59.0161032Z
True,2018-09-04T17:20:10.2180033Z
True,2018-09-04T17:20:15.5170157Z
True,2018-09-04T17:20:21.2444241Z
True,2018-09-04T17:20:26.5379295Z
True,2018-09-04T17:20:32.5986485Z
True,2018-09-04T17:20:37.7196185Z
True,2018-09-04T17:20:43.4315752Z
True,2018-09-04T17:20:49.1348493Z
True,2018-09-04T17:20:54.6334269Z
True,2018-09-04T17:21:00.6364693Z
True,2018-09-04T17:26:08.7203978Z
True,2018-09-04T17:26:14.3215243Z
True,2018-09-04T17:26:19.6453211Z
True,2018-09-04T17:26:32.2509439Z
True,2018-09-04T17:26:37.5832531Z
True,2018-09-04T17:26:42.9866087Z
True,2018-09-04T17:26:54.3610818Z
True,2018-09-04T17:26:59.7074756Z
True,2018-09-04T17:27:05.1185104Z
True,2018-09-04T17:27:16.3815558Z
True,2018-09-04T17:27:22.0077185Z
True,2018-09-04T17:27:27.4745730Z
True,2018-09-04T17:27:33.3951781Z
True,2018-09-04T17:27:38.8096016Z
True,2018-09-04T17:27:44.2331919Z
True,2018-09-04T17:27:49.5967527Z
True,2018-09-04T17:28:00.7276040Z
True,2018-09-04T17:28:12.1789404Z
True,2018-09-04T17:28:17.6922239Z
True,2018-09-04T17:28:22.9530883Z
True,2018-09-04T17:28:28.5722231Z
True,2018-09-04T17:28:41.9827604Z
True,2018-09-04T17:28:45.4754670Z
True,2018-09-04T17:28:51.6164481Z
True,2018-09-04T17:28:56.3145800Z
True,2018-09-04T17:29:18.5434779Z
True,2018-09-04T17:29:24.1712287Z
True,2018-09-04T17:29:29.6905471Z
True,2018-09-04T17:29:36.1613385Z
True,2018-09-04T17:29:46.4940048Z
True,2018-09-04T17:29:47.5320066Z
True,2018-09-04T17:29:51.9220919Z
True,2018-09-04T17:29:57.3436245Z
True,2018-09-04T17:30:03.3967355Z
True,2018-09-04T17:30:08.7417355Z
True,2018-09-04T17:30:14.4208134Z
True,2018-09-04T17:30:19.9083068Z
True,2018-09-04T17:30:26.1233750Z
True,2018-09-04T17:30:36.7642287Z
True,2018-09-04T17:30:42.3127884Z
True,2018-09-04T17:30:47.6855546Z
True,2018-09-04T17:30:53.1588989Z
True,2018-09-04T17:31:04.4288977Z
True,2018-09-04T17:31:10.3243172Z
True,2018-09-04T17:31:15.7422833Z
True,2018-09-04T17:31:21.2626019Z
True,2018-09-04T17:31:27.0047522Z
True,2018-09-04T17:31:32.5769522Z
True,2018-09-04T17:31:38.0363523Z
True,2018-09-04T17:31:43.9614881Z
True,2018-09-04T17:31:49.2560359Z
True,2018-09-04T17:32:00.5340330Z
True,2018-09-04T17:32:06.4843195Z
True,2018-09-04T17:32:11.8025228Z
True,2018-09-04T17:32:17.7382387Z
