PropertyValue;Timestamp
23,9;16:33:02
23,6;16:33:02
23,8;16:33:02
23,8;16:33:02
23,7;16:33:02
23,8;16:33:02
23,8;16:33:02
23,9;16:33:02
23,6;16:33:02
23,9;16:33:02
23,8;16:33:06
23,8;16:33:06
23,8;16:33:06
23,8;16:33:06
23,8;16:33:06
23,9;16:33:06
23,7;16:33:06
23,8;16:33:06
23,6;16:33:06
23,8;16:33:06
23,8;16:33:06
23,9;16:33:06
23,8;16:33:06
23,6;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,9;16:33:06
23,5;17:18:39
23,3;17:18:39
23,4;17:18:39
23,3;17:18:39

23,3;17:18:47

23,3;17:18:57
23,3;17:19:03

23,2;17:19:14
23,2;17:19:19
23,1;17:19:25
23,2;17:19:31

23,1;17:19:42
23,1;17:19:47
23,2;17:19:53
23,2;17:19:58

23,2;17:20:09
23,1;17:20:15
23;17:20:20
23;17:20:26
23,2;17:20:31
23,1;17:20:37
23,1;17:20:43
23,1;17:20:48
23,1;17:20:54
23,1;17:21:00


22,9;17:26:08
22,9;17:26:13
22,9;17:26:19

22,9;17:26:31
22,9;17:26:37
22,9;17:26:42

22,9;17:26:53
22,9;17:26:59
22,9;17:27:04

23;17:27:16
23;17:27:21
23;17:27:27
23;17:27:33
23;17:27:38
23,1;17:27:43
23,1;17:27:49

23,1;17:28:00

23,2;17:28:11
23,3;17:28:17
23,3;17:28:22
23,3;17:28:28


23,4;17:28:45
23,4;17:28:50
23,5;17:28:56



23,6;17:29:18
23,6;17:29:23
23,6;17:29:29
23,6;17:29:34

23,7;17:29:46
23,7;17:29:51
23,8;17:29:57
23,8;17:30:02
23,8;17:30:08
23,8;17:30:14
23,9;17:30:19
23,9;17:30:25

24;17:30:36
24;17:30:41
24;17:30:47
24,1;17:30:52

24,1;17:31:04
24,1;17:31:09
24,2;17:31:15
24,2;17:31:20
24,2;17:31:26
24,3;17:31:32
24,3;17:31:37
24,3;17:31:43
24,3;17:31:48

24,4;17:32:00
24,4;17:32:06
24,4;17:32:11
24,5;17:32:17
24,5;17:32:22
24,5;17:32:28
24,6;17:32:34
24,6;17:32:39
24,6;17:32:45

24,6;17:32:56
24,6;17:33:02


24,7;17:33:18
24,8;17:33:24
24,8;17:33:30


24,9;17:33:46
24,9;17:33:52
24,9;17:33:57
24,9;17:34:03
25;17:34:09
25;17:34:14
25;17:34:20

25,1;17:34:31
25,1;17:34:37
25,1;17:34:42


25,1;17:34:59
25,1;17:35:05
